id,team,position,first_name,second_name,web_name,known_name,team_join_date,birth_date,total_points,bonus,bps,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,points_per_game,points_per_game_rank,points_per_game_rank_type,saves_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
28,Arsenal,MID,Ismeal,Kabia,Kabia,,2024-09-14,2005-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,755,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,314,746,313,733,310,753,314
29,Arsenal,MID,Albert,Sambi Lokonga,Sambi,,2021-07-19,1999-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,714,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708,274,704,276,687,270,710,276
30,Arsenal,FWD,Kai,Havertz,Havertz,,2023-06-28,1999-06-11,36,3,143,577,7,2,3,4,4,0,0,0,1,0,0,10,14,8,32,3.31,0.64,3.95,6.68,3.0,202,22,0.0,0.62,1.09,0.62,4.99,0.52,0.1,0.62,1.04,152.6,134.6,210.0,49.9,346,35,265,31,173,40,305,35
31,Arsenal,FWD,Gabriel,Fernando de Jesus,G.Jesus,Gabriel Jesus,2022-07-04,1997-04-03,24,0,92,418,3,3,0,1,6,0,0,0,3,0,0,7,19,4,30,2.71,0.26,2.97,3.97,1.7,407,47,0.0,1.29,0.65,0.22,6.46,0.58,0.06,0.64,0.85,141.8,54.3,281.0,47.5,355,39,363,45,127,34,315,38
266,Arsenal,MID,Eberechi,Eze,Eze,,2025-08-23,1998-06-29,113,8,439,1885,22,7,3,11,14,0,0,0,1,0,0,22,79,19,120,5.18,2.66,7.84,14.21,3.4,141,61,0.0,0.67,1.05,0.53,5.73,0.25,0.13,0.38,0.68,393.4,305.7,455.0,115.1,187,73,143,95,60,34,108,60
662,Arsenal,DEF,Cristhian,Mosquera,Mosquera,,2025-07-24,2004-06-27,40,1,195,986,9,0,0,3,8,0,0,0,4,0,0,63,35,32,95,0.10,0.63,0.73,9.04,2.0,357,132,0.0,0.73,0.82,0.27,8.67,0.01,0.06,0.07,0.83,219.2,88.7,20.0,32.9,295,117,307,100,405,145,359,121
666,Arsenal,FWD,Viktor,Gyökeres,Gyökeres,,2025-07-26,1998-06-04,128,16,474,2217,26,14,1,12,14,0,0,0,5,0,0,23,55,7,85,12.26,1.94,14.19,17.81,3.6,110,11,0.0,0.57,1.06,0.49,3.45,0.5,0.08,0.58,0.72,539.6,271.7,772.0,157.5,111,10,159,14,21,12,52,9
700,Arsenal,MID,Max,Dowman,Dowman,,2025-07-22,2009-12-31,16,0,51,152,1,1,1,1,1,0,0,0,0,0,0,1,13,2,16,1.19,0.30,1.49,0.88,2.7,234,91,0.0,0.59,0.59,0.59,9.47,0.7,0.18,0.88,0.52,45.2,55.5,65.0,16.6,434,189,360,189,330,170,409,187
711,Arsenal,MID,Andre,Harriman-Annous,Harriman-Annous,,2025-07-22,2007-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,703,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697,268,692,270,673,263,699,270
725,Arsenal,DEF,Piero,Hincapié,Hincapie,,2025-09-01,2002-01-09,87,7,335,1787,20,1,2,5,19,1,0,0,2,0,0,123,63,48,171,0.36,1.67,2.03,17.53,3.5,118,45,0.0,0.96,1.01,0.25,8.61,0.02,0.08,0.1,0.88,453.6,184.7,72.0,70.9,150,63,221,55,321,103,235,80
759,Arsenal,DEF,Marli,Salmon,Salmon,,2025-07-22,2009-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,646,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636,245,628,244,598,241,639,245
32,Aston Villa,GKP,Emiliano,Martínez Romero,Martinez,,2020-09-16,1992-09-02,120,11,530,2835,32,0,1,7,39,0,1,0,2,0,95,27,272,0,0,0.00,0.08,0.08,42.92,3.8,80,8,3.02,1.24,1.02,0.22,0.0,0.0,0.0,0.0,1.36,769.8,23.2,0.0,79.2,38,10,408,4,800,93,206,10
33,Aston Villa,GKP,Marco,Bizot,M.Bizot,,2025-07-15,1991-03-10,16,0,75,585,6,0,0,1,10,0,0,0,2,0,19,10,53,0,0,0.00,0.00,0.00,11.02,2.3,302,29,2.92,1.54,0.92,0.15,0.0,0.0,0.0,0.0,1.7,139.2,0.0,0.0,13.9,358,26,642,83,614,68,415,26
34,Aston Villa,GKP,Joe,Gauci,Gauci,,2024-02-01,2000-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,609,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598,75,589,64,558,49,601,75
35,Aston Villa,GKP,Filip,Marschall,Marschall,,2021-12-13,2003-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,608,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597,74,588,63,557,48,600,74
36,Aston Villa,DEF,Matty,Cash,Cash,,2020-09-03,1997-08-07,117,7,450,3016,34,3,3,8,38,0,0,0,9,0,0,120,88,66,186,1.14,2.94,4.08,45.45,3.3,145,52,0.0,1.13,1.01,0.24,5.55,0.03,0.09,0.12,1.36,643.0,510.7,221.0,137.5,70,32,57,8,163,35,77,15
37,Aston Villa,DEF,Lucas,Digne,Digne,,2022-01-13,1993-07-20,97,5,381,1842,21,0,7,7,23,0,0,0,3,0,0,77,63,36,113,0.67,3.28,3.95,27.79,3.1,178,68,0.0,1.12,1.03,0.34,5.52,0.03,0.16,0.19,1.36,400.2,455.5,130.0,98.5,183,75,72,15,251,65,154,51
38,Aston Villa,DEF,Ezri,Konsa Ngoyo,Konsa,,2019-07-11,1997-10-23,100,3,497,3035,34,0,1,9,44,0,0,0,0,1,0,174,108,22,196,1.27,0.59,1.86,48.93,2.9,205,81,0.0,1.3,1.01,0.27,5.81,0.04,0.02,0.06,1.45,601.4,108.3,124.0,84.0,83,35,293,91,258,68,193,67
39,Aston Villa,DEF,Ian,Maatsen,Maatsen,,2024-06-28,2002-03-10,54,1,242,1590,17,0,1,2,27,0,0,0,2,0,0,85,82,43,128,1.26,2.39,3.65,26.64,1.8,377,140,0.0,1.53,0.96,0.11,7.25,0.07,0.14,0.21,1.51,336.6,373.4,231.0,94.3,219,89,105,26,155,32,165,55
40,Aston Villa,DEF,Tyrone,Mings,Mings,,2019-07-08,1993-03-13,50,4,169,1322,15,0,1,3,23,0,0,0,1,0,0,102,47,5,107,1.30,0.42,1.72,23.37,2.9,204,80,0.0,1.57,1.02,0.2,7.28,0.09,0.03,0.12,1.59,282.6,80.5,105.0,46.8,258,102,327,110,278,80,319,105
41,Aston Villa,DEF,Pau,Torres,Pau,,2023-07-12,1997-01-16,64,2,280,1673,18,0,2,5,19,1,0,0,1,0,0,90,79,22,112,1.33,0.39,1.72,22.81,3.0,191,75,0.0,1.02,0.97,0.27,6.03,0.07,0.02,0.09,1.23,321.8,47.1,79.0,45.1,233,92,376,135,311,97,325,110
42,Aston Villa,DEF,Andrés,García,A.García,,2025-01-21,2003-02-07,5,0,12,83,1,0,0,0,3,0,0,0,0,0,0,5,4,5,10,0.00,0.01,0.01,2.74,0.8,529,179,0.0,3.25,1.08,0.0,10.84,0.0,0.01,0.01,2.97,17.8,3.2,2.0,2.3,468,170,470,169,456,171,486,173
43,Aston Villa,DEF,Álex,Moreno Lopera,Alex Moreno,,2023-01-11,1993-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,593,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582,212,570,211,539,207,585,212
44,Aston Villa,DEF,Lamare,Bogarde,Bogarde,,2021-01-07,2004-01-05,40,4,121,1042,11,0,0,2,17,0,0,0,5,0,0,34,43,26,60,0.00,0.20,0.20,15.38,1.4,430,155,0.0,1.47,0.95,0.17,5.18,0.0,0.02,0.02,1.33,133.0,59.4,14.0,20.6,365,135,356,124,416,153,393,138
45,Aston Villa,DEF,Lino,da Cruz Sousa,Sousa,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,551,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540,194,522,193,490,188,543,194
46,Aston Villa,DEF,Yasin,Özcan,Yasin,,2025-06-01,2006-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,637,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627,237,619,236,589,233,630,237
47,Aston Villa,MID,Morgan,Rogers,Rogers,,2024-02-01,2002-07-26,169,17,605,3280,37,10,8,9,48,0,0,0,7,0,0,49,139,42,230,6.84,4.32,11.16,51.55,4.6,27,12,0.0,1.32,1.02,0.25,6.31,0.19,0.12,0.31,1.41,746.2,706.2,871.0,232.0,41,11,26,25,8,3,9,6
48,Aston Villa,MID,Youri,Tielemans,Tielemans,,2023-06-14,1997-05-07,68,3,417,1857,21,0,4,4,27,0,0,0,0,0,0,51,94,58,203,1.14,3.26,4.40,31.34,2.7,248,101,0.0,1.31,1.02,0.19,9.84,0.06,0.16,0.22,1.52,432.0,513.6,184.0,113.1,166,61,56,48,206,107,117,66
49,Aston Villa,MID,Leon,Bailey,Bailey,,2021-08-04,1997-08-09,21,0,69,450,3,0,2,0,9,0,0,0,1,0,0,7,31,10,48,0.50,1.46,1.96,7.03,1.6,417,179,0.0,1.8,0.6,0.0,9.6,0.1,0.29,0.39,1.41,71.2,160.4,69.0,30.1,411,179,237,152,328,169,369,174
50,Aston Villa,MID,Emiliano,Buendía Stati,Buendía,,2021-06-10,1996-12-25,102,10,382,1753,21,6,2,3,24,0,0,0,6,0,0,39,109,49,197,3.38,2.23,5.61,28.03,2.8,228,88,0.0,1.23,1.08,0.15,10.11,0.17,0.11,0.28,1.44,427.0,402.1,398.0,121.4,167,62,90,65,80,47,98,57
51,Aston Villa,MID,Samuel,Iling-Junior,Iling Jr,,2024-07-01,2003-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,830,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830,372,830,372,829,372,830,372
53,Aston Villa,MID,Donyell,Malen,Malen,,2025-01-14,1999-01-19,55,3,161,640,5,4,2,1,10,0,0,0,0,0,0,2,10,4,16,4.03,0.35,4.38,10.59,2.6,265,108,0.0,1.41,0.7,0.14,2.25,0.57,0.05,0.62,1.49,183.4,99.7,290.0,56.3,321,141,299,172,120,71,282,143
54,Aston Villa,MID,John,McGinn,McGinn,,2018-08-08,1994-10-18,103,6,443,2136,28,5,4,8,28,0,0,0,5,0,0,32,89,29,150,3.00,4.11,7.11,33.08,3.4,134,57,0.0,1.18,1.18,0.34,6.32,0.13,0.17,0.3,1.39,459.8,605.3,309.0,137.3,148,52,37,34,110,67,78,48
55,Aston Villa,MID,Ross,Barkley,Barkley,,2024-07-01,1993-12-05,56,5,221,844,7,3,2,1,15,0,0,0,1,0,0,15,45,14,74,1.58,1.26,2.84,13.20,2.7,241,94,0.0,1.6,0.75,0.11,7.89,0.17,0.13,0.3,1.41,227.8,162.3,191.0,58.1,289,122,231,150,193,103,275,139
56,Aston Villa,MID,Enzo,Barrenechea,Barrenechea,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,812,359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812,359,811,359,808,358,812,359
57,Aston Villa,MID,Lewis,Dobbin,Dobbin,,2024-06-23,2003-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,808,356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808,356,807,356,804,355,808,356
58,Aston Villa,MID,Boubacar,Kamara,Kamara,,2022-06-11,1999-11-23,61,7,282,1410,17,1,3,5,15,0,0,0,5,0,0,46,65,38,149,0.53,0.84,1.36,20.80,3.4,129,54,0.0,0.96,1.09,0.32,9.51,0.03,0.05,0.08,1.33,325.0,241.3,75.0,64.2,230,96,170,112,315,164,254,127
59,Aston Villa,MID,Amadou,Onana,Onana,,2024-07-22,2001-08-16,76,4,353,1755,21,2,0,6,26,0,0,0,3,0,0,99,72,48,219,1.68,0.69,2.37,28.53,3.0,194,74,0.0,1.33,1.08,0.31,11.23,0.09,0.04,0.13,1.46,413.2,152.6,178.0,74.4,176,66,249,158,211,112,219,106
60,Aston Villa,MID,Ben,Broggio,Broggio,,2024-09-23,2007-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,700,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694,267,689,269,670,262,696,269
61,Aston Villa,MID,Leander,Dendoncker,Dendoncker,,2022-09-01,1995-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,706,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,269,695,271,676,264,702,271
62,Aston Villa,MID,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,,2024-09-23,2006-10-02,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.00,0.00,0.00,0.61,1.0,493,221,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,6.86,0.2,0.3,0.0,0.1,525,239,498,242,717,298,528,241
63,Aston Villa,MID,Kadan,Young,Young,,2022-12-10,2006-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,672,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661,244,657,248,635,238,664,246
64,Aston Villa,FWD,Ollie,Watkins,Watkins,,2020-09-09,1995-12-30,167,26,623,2833,33,16,4,9,38,0,0,0,4,0,0,23,49,22,94,15.40,1.18,16.58,43.39,4.5,32,5,0.0,1.21,1.05,0.29,2.99,0.49,0.04,0.53,1.38,720.2,330.9,1206.0,225.2,47,5,126,7,2,2,12,4
65,Aston Villa,FWD,Zépiqueno,Redmond,Redmond,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,752,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749,80,743,79,730,79,750,80
389,Aston Villa,MID,Harvey,Elliott,Elliott,,2025-09-01,2003-04-04,5,0,17,110,1,0,0,0,2,0,0,0,0,0,0,2,4,0,6,0.29,0.08,0.37,1.74,1.0,516,238,0.0,1.64,0.82,0.0,4.91,0.24,0.07,0.31,1.42,11.8,31.7,31.0,7.4,476,210,396,199,378,191,453,203
456,Aston Villa,MID,Jadon,Sancho,Sancho,,2025-09-01,2000-03-25,37,0,141,863,9,0,2,2,10,0,0,0,0,0,0,11,26,7,44,0.61,1.87,2.48,14.11,1.6,418,180,0.0,1.04,0.94,0.21,4.59,0.06,0.2,0.26,1.47,130.2,290.6,193.0,61.6,371,166,152,100,192,102,263,130
688,Aston Villa,GKP,James,Wright,Wright,,2023-03-31,2004-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,575,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564,57,549,40,518,25,567,57
699,Aston Villa,MID,Douglas Luiz,Soares de Paulo,Douglas Luiz,Douglas Luiz,2026-01-28,1998-05-09,35,0,220,913,12,1,1,1,15,0,0,0,3,0,0,31,52,22,105,0.53,1.42,1.95,13.24,1.7,404,174,0.0,1.48,1.18,0.1,10.35,0.05,0.14,0.19,1.31,201.6,294.3,94.0,59.1,310,133,149,98,297,157,271,136
701,Aston Villa,DEF,Triston,Rowe,Rowe,,2024-09-23,2006-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,634,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624,234,616,233,586,230,627,234
702,Aston Villa,MID,Bradley,Burrowes,Burrowes,,2025-01-09,2008-03-04,1,0,3,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.00,0.00,0.00,0.90,1.0,483,211,0.0,5.62,0.0,0.0,5.62,0.0,0.0,0.0,5.06,0.0,0.3,0.0,0.0,672,254,497,241,645,248,674,256
703,Aston Villa,GKP,Sam,Proctor,Proctor,,2023-12-16,2006-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,584,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573,63,559,47,528,32,576,63
